exp	timestamp	encoder	base_model	axis	source	source_label	family	n_points	min_n	max_n	best_n	best_x_actual	best_mae	best_ci_width	mae_avg	slope	full_range_p_positive	path
frozen_q_lowflex_full	2026-05-06T02:42:34	frozen	ESM-2 8M	n_md	MD_Q_LOWFLEX	Q low-flex 300K	MD Q	5	10.0	640.0	160.0	160.0	7.3167162417054135	0.905523723996164	7.501357403074776	-2.9351717265692185	0.0	results/frozen_q_lowflex_full/scaling.json
frozen_q_hphil_full	2026-05-06T02:19:52	frozen	ESM-2 8M	n_md	MD_Q_HPHIL	Q HPHIL 300K	MD Q	7	10.0	640.0	640.0	640.0	7.3177634100059485	0.8991364360645422	7.426428545997248	-2.4707809446612865	0.0	results/frozen_q_hphil_full/scaling.json
frozen_rmsf_framework	2026-05-19T00:18:57	frozen	ESM-2 8M	n_md	MD_RMSF_FRAMEWORK	RMSF framework 300K	MD flexibility	4	10.0	640.0	160.0	160.0	7.32922854937064	0.9007948120384359	7.4799936387070085	-2.9999999960684454	0.0	results/frozen_rmsf_framework/scaling.json
frozen_q_highflex_full	2026-05-06T03:02:36	frozen	ESM-2 8M	n_md	MD_Q_HIGHFLEX	Q high-flex 300K	MD Q	5	10.0	640.0	640.0	640.0	7.334104690805495	0.898102205385964	7.516055742824359	-2.7088969203593	0.0	results/frozen_q_highflex_full/scaling.json
short_frozen_t10	2026-05-30T01:34:56	frozen	ESM-2 8M	n_md	MD_Q_HPHIL_400K_T10	Q HPHIL 400K, 10 ns	Short MD Q	1	640.0	640.0	640.0	640.0	7.334985910791605	0.8917923076057441	7.334985910791605			results/short_frozen_t10/scaling.json
frozen_ss_dist_std	2026-05-19T01:01:57	frozen	ESM-2 8M	n_md	MD_SS_DIST_STD	SS distance std	MD structure	4	10.0	640.0	40.0	40.0	7.339680541748787	0.9058837266025188	7.5289398326890895	-2.9999999999999996	0.0	results/frozen_ss_dist_std/scaling.json
tm_ref_frozen	2026-05-29T22:13:19	frozen	ESM-2 8M	n_tm	Tm only	Tm only	Tm reference	5	10.0	57.0	57.0	57.0	7.35903660386135	0.9035970542787695	7.773911807663708	-0.37506585154919975	0.0	results/tm_ref_frozen/scaling.json
frozen_rg_std	2026-05-07T05:23:35	frozen	ESM-2 8M	n_md	MD_RG_STD	Rg std 300K	MD flexibility	4	10.0	640.0	160.0	160.0	7.3619499299710265	0.9021267743947226	7.633683353472168	-1.430058527019903	0.0	results/frozen_rg_std/scaling.json
md_weight_w1.0	2026-05-06T08:08:57	frozen	ESM-2 8M	n_md	MD_Q_HPHIL	Q HPHIL 300K	MD Q	1	320.0	320.0	320.0	320.0	7.3726359085475295	0.9017800609619977	7.3726359085475295			results/md_weight_w1.0/scaling.json
frozen_saltbridge_full	2026-05-06T03:23:42	frozen	ESM-2 8M	n_md	MD_SALTBRIDGE	salt-bridge persistence	MD structure	5	10.0	640.0	40.0	40.0	7.387122035498424	0.8946770755442701	7.533164983588875	-2.9999999651075138	0.0	results/frozen_saltbridge_full/scaling.json
frozen_q_cdr3	2026-05-18T23:19:43	frozen	ESM-2 8M	n_md	MD_Q_CDR3	Q CDR3 300K	MD Q	4	10.0	640.0	160.0	160.0	7.401980018752923	0.904182850388433	7.647042532828876	-0.9603553812952801	0.0	results/frozen_q_cdr3/scaling.json
md_weight_w8.0	2026-05-06T08:11:49	frozen	ESM-2 8M	n_md	MD_Q_HPHIL	Q HPHIL 300K	MD Q	1	320.0	320.0	320.0	320.0	7.475020772891744	0.9008322889571936	7.475020772891744			results/md_weight_w8.0/scaling.json
